№ анкеты;Академическая степень;Факультет;Кафедра;Специальность/Группа образовательных программ;Курс обучения;Язык обучения;Язык заполнения анкеты;"Насколько Вы удовлетворены выбором Вашей образовательной программы?
";"Если бы у Вас была возможность выбрать снова, Вы бы выбрали ту же образовательную программу?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.1 Личный интерес к предметной области (что Вам было интересно изучать) ?


";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.2. Ваши знания по школьным предметам (например: математика, физика, биология, история и т.д.)?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.3.Ваши личные навыки и способности (логика, коммуникация, творчество, практические умения и др.) ?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.4. Совпадение программы с Вашими личными ценностями (например: помогать людям, заниматься инновациями, реализовывать творчество) ?
";"Повлияло ли на ваш выбор наличие гранта/поступление по гранту?
";"Ваш курс обучения:
";"Пол:
"
187;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
188;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Не важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
189;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Русский язык;Русский язык;Скорее не удовлетворён;Нет;Средне важно;Средне важно;Маловажно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
190;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
191;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Полностью удовлетворён;Затрудняюсь ответить;Средне важно;Важно;Средне важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
192;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Очень важно;Средне важно;Важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
193;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Важно;Средне важно;Маловажно;Нет, грант не имел значения;3 курс;Мужской
194;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Средне важно;Средне важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;2 курс;Мужской
195;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
196;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Ни да, ни нет;Нет;Важно;Средне важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
197;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Средне важно;Важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
198;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Русский язык;Русский язык;Скорее удовлетворён;Да;Важно;Очень важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
199;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Русский язык;Русский язык;Скорее не удовлетворён;Нет;Важно;Важно;Маловажно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
200;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
201;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Русский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
202;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
203;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Очень важно;Важно;Очень важно;Нет, грант не имел значения;3 курс;Мужской
204;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Русский язык;Русский язык;Скорее не удовлетворён;Затрудняюсь ответить;Очень важно;Очень важно;Важно;Важно;Нет, грант не имел значения;3 курс;Мужской
205;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Совсем не удовлетворён;Нет;Не важно;Не важно;Не важно;Не важно;Нет, грант не имел значения;2 курс;Мужской
206;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Маловажно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
207;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Скорее не удовлетворён;Нет;Средне важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
208;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Маловажно;Важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
209;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
210;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Не важно;Важно;Не важно;Нет, грант не имел значения;3 курс;Мужской
211;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Скорее не удовлетворён;Затрудняюсь ответить;Средне важно;Средне важно;Маловажно;Не важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
212;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
213;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
214;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
215;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Очень важно;Не важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
216;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Средне важно;Маловажно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
217;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Очень важно;Важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
218;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Средне важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
219;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
220;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Не важно;Не важно;Не важно;Не важно;Да, поступил(а) только из-за наличия гранта;2 курс;Мужской
221;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
222;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Очень важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;3 курс;Мужской
223;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Важно;Очень важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
224;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
225;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
226;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
227;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Скорее удовлетворён;Нет;Очень важно;Важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
228;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
229;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
230;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Совсем не удовлетворён;Да;Не важно;Важно;Важно;Важно;Нет, грант не имел значения;3 курс;Мужской
231;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Средне важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
232;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Скорее удовлетворён;Да;Не важно;Не важно;Не важно;Не важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
233;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Полностью удовлетворён;Нет;Важно;Важно;Важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
234;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Очень важно;Очень важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
235;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Важно;Очень важно;Важно;Нет, грант не имел значения;3 курс;Мужской
236;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Не важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
237;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Очень важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
238;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
239;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Средне важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
240;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Средне важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
241;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Скорее удовлетворён;Нет;Очень важно;Средне важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
242;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Средне важно;Средне важно;Важно;Нет, грант не имел значения;3 курс;Женский
243;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Важно;Очень важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
244;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Очень важно;Очень важно;Нет, грант не имел значения;3 курс;Мужской
245;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Маловажно;Маловажно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
246;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
247;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
248;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;3 курс;Женский
249;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
250;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Русский язык;Русский язык;Скорее удовлетворён;Нет;Очень важно;Важно;Очень важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
251;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Маловажно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
252;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Средне важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
253;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Совсем не удовлетворён;Да;Важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
254;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
255;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Не важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
256;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
257;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Важно;Важно;Важно;Нет, грант не имел значения;3 курс;Женский
258;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
259;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Средне важно;Нет, грант не имел значения;2 курс;Мужской
260;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
261;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Средне важно;Очень важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
262;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Не важно;Средне важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
263;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Скорее не удовлетворён;Нет;Важно;Важно;Средне важно;Не важно;Нет, грант не имел значения;3 курс;Мужской
264;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Важно;Маловажно;Средне важно;Нет, грант не имел значения;3 курс;Женский
265;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Очень важно;Важно;Средне важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
266;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
267;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
268;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Русский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
269;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Полностью удовлетворён;Нет;Маловажно;Не важно;Маловажно;Маловажно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
270;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
271;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
272;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Очень важно;Очень важно;Нет, грант не имел значения;3 курс;Мужской
273;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Очень важно;Маловажно;Средне важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
274;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Скорее не удовлетворён;Да;Маловажно;Средне важно;Маловажно;Не важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
275;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Средне важно;Маловажно;Маловажно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
276;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Ни да, ни нет;Да;Средне важно;Маловажно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
277;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Важно;Важно;Средне важно;Нет, грант не имел значения;3 курс;Женский
